# Dataset: Business Survivability Scores by Neighborhood - Orlando (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Orlando
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/orlando-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/orlando-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
orlando,alafaya,hot-pot-restaurant,Hot Pot Restaurant,80.4,84.0,71.8,84.0,83.7,72.8,71.0,2,Great,38,Good,33,2026,/resources/guides/orlando/survivability/hot-pot-restaurant,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,16.0,28.2,0.9439,0.0310,0,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,french-restaurant,French Restaurant,80.5,84.0,72.8,84.0,83.6,73.6,71.9,3,Great,23,Good,33,2026,/resources/guides/orlando/survivability/french-restaurant,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,16.0,27.2,0.9439,0.0310,0,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,day-care-center,Day Care Center,81.7,85.6,73.0,86.0,83.8,74.7,72.2,4,Great,4,Great,33,2026,/resources/guides/orlando/survivability/day-care-center,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,14.4,27.0,0.9439,0.0310,33,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,hungarian-restaurant,Hungarian Restaurant,80.4,84.0,72.8,84.0,83.3,73.6,71.9,3,Great,39,Good,33,2026,/resources/guides/orlando/survivability/hungarian-restaurant,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,16.0,27.2,0.9439,0.0310,0,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,tanning-salon,Tanning,71.9,80.8,66.9,81.3,79.6,68.5,66.1,16,Average,85,Poor,33,2026,/resources/guides/orlando/survivability/tanning-salon,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,19.2,33.1,0.9439,0.0310,0,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,smoke-shop,Smoke Shop,72.7,80.5,60.2,81.1,79.6,61.5,59.4,30,Poor,81,Below-average,33,2026,/resources/guides/orlando/survivability/smoke-shop,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,19.5,39.8,0.9439,0.0310,0,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,falafel-restaurant,Falafel Restaurant,73.2,78.6,66.9,79.1,77.7,67.7,66.0,22,Below-average,78,Below-average,33,2026,/resources/guides/orlando/survivability/falafel-restaurant,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,21.4,33.1,0.9439,0.0310,0,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,pizza-restaurant,Pizza Restaurant,80.4,84.0,72.8,84.0,83.1,73.7,72.0,2,Great,44,Average,33,2026,/resources/guides/orlando/survivability/pizza-restaurant,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,16.0,27.2,0.9439,0.0310,5,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,southern-food-restaurant,Soul Food / Southern Restaurant,80.4,84.0,71.8,84.0,83.5,72.8,71.0,2,Great,45,Average,33,2026,/resources/guides/orlando/survivability/southern-food-restaurant,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,16.0,28.2,0.9439,0.0310,25,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
orlando,alafaya,ukrainian-restaurant,Ukrainian Restaurant,80.4,84.0,73.2,84.0,83.1,74.2,72.7,5,Great,49,Average,33,2026,/resources/guides/orlando/survivability/ukrainian-restaurant,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/orlando/neighborhoods/alafaya/business-survivability,16.0,26.8,0.9439,0.0310,0,,117539,0.7340,Upper-Middle,78.1,68.8,0.0744,39.4,0.5818,2.93,35.2,0.6880,StreetSpring Survivability Dataset 2026
