# Dataset: Business Survivability Scores by Neighborhood - San Antonio (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in San Antonio
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/san-antonio-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/san-antonio-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
san-antonio,alta-vista,hot-pot-restaurant,Hot Pot Restaurant,79.8,82.7,77.2,83.5,81.9,78.2,76.4,4,Good,26,Good,12,2026,/resources/guides/san-antonio/survivability/hot-pot-restaurant,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,17.3,22.8,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,french-restaurant,French Restaurant,77.7,80.0,74.1,80.6,79.1,75.0,73.2,11,Poor,71,Below-average,12,2026,/resources/guides/san-antonio/survivability/french-restaurant,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,20.0,25.9,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,day-care-center,Day Care Center,80.0,82.4,77.0,83.3,80.7,78.7,76.2,8,Below-average,20,Great,12,2026,/resources/guides/san-antonio/survivability/day-care-center,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,17.6,23.0,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,hungarian-restaurant,Hungarian Restaurant,79.5,82.7,77.2,83.3,81.5,78.1,76.4,5,Average,48,Average,12,2026,/resources/guides/san-antonio/survivability/hungarian-restaurant,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,17.3,22.8,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,tanning-salon,Tanning,70.3,72.8,67.8,73.2,71.5,69.4,67.0,8,Below-average,94,Poor,12,2026,/resources/guides/san-antonio/survivability/tanning-salon,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,27.2,32.2,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,smoke-shop,Smoke Shop,76.0,78.7,73.8,79.3,77.8,75.0,72.9,5,Average,75,Below-average,12,2026,/resources/guides/san-antonio/survivability/smoke-shop,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,21.3,26.2,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,falafel-restaurant,Falafel Restaurant,73.6,75.0,72.3,75.5,74.1,73.1,71.4,3,Good,81,Below-average,12,2026,/resources/guides/san-antonio/survivability/falafel-restaurant,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,25.0,27.7,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,pizza-restaurant,Pizza Restaurant,78.7,81.8,75.9,82.6,80.9,76.8,75.2,5,Average,63,Average,12,2026,/resources/guides/san-antonio/survivability/pizza-restaurant,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,18.2,24.1,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,southern-food-restaurant,Soul Food / Southern Restaurant,79.8,82.2,77.7,82.8,81.3,78.7,76.8,4,Good,31,Good,12,2026,/resources/guides/san-antonio/survivability/southern-food-restaurant,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,17.8,22.3,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
san-antonio,alta-vista,ukrainian-restaurant,Ukrainian Restaurant,80.2,82.7,77.7,83.3,81.8,78.7,77.2,4,Good,15,Great,12,2026,/resources/guides/san-antonio/survivability/ukrainian-restaurant,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-antonio/neighborhoods/alta-vista/business-survivability,17.3,22.3,0.9444,0.1608,0,,59852,0.3819,Middle,40.6,16.5,0.1840,42.2,0.2790,2.54,25.1,0.0456,StreetSpring Survivability Dataset 2026
