# Dataset: Business Survivability Scores by Neighborhood - Los Angeles (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Los Angeles
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/los-angeles-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/los-angeles-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
los-angeles,adams-hill,hot-pot-restaurant,Hot Pot Restaurant,78.2,79.0,75.9,79.9,78.3,76.8,75.1,78,Average,47,Average,161,2026,/resources/guides/los-angeles/survivability/hot-pot-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,21.0,24.1,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,french-restaurant,French Restaurant,79.3,80.4,78.2,81.1,79.6,79.0,77.3,45,Good,19,Great,161,2026,/resources/guides/los-angeles/survivability/french-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,19.6,21.8,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,day-care-center,Day Care Center,79.2,81.0,77.0,82.0,79.3,78.7,76.2,120,Below-average,20,Great,161,2026,/resources/guides/los-angeles/survivability/day-care-center,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,19.0,23.0,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,hungarian-restaurant,Hungarian Restaurant,79.7,81.3,77.2,82.0,80.2,78.1,76.4,17,Great,11,Great,161,2026,/resources/guides/los-angeles/survivability/hungarian-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,18.7,22.8,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,tanning-salon,Tanning,72.7,75.9,69.6,76.4,74.6,71.2,68.8,113,Below-average,102,Poor,161,2026,/resources/guides/los-angeles/survivability/tanning-salon,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,24.1,30.4,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,smoke-shop,Smoke Shop,77.2,80.5,74.2,81.1,79.6,75.4,73.4,19,Great,77,Below-average,161,2026,/resources/guides/los-angeles/survivability/smoke-shop,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,19.5,25.8,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,falafel-restaurant,Falafel Restaurant,73.4,75.0,71.4,75.5,74.1,72.2,70.5,95,Average,99,Poor,161,2026,/resources/guides/los-angeles/survivability/falafel-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,25.0,28.6,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,pizza-restaurant,Pizza Restaurant,77.2,78.6,74.1,79.4,77.7,75.0,73.4,76,Average,76,Below-average,161,2026,/resources/guides/los-angeles/survivability/pizza-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,21.4,25.9,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,southern-food-restaurant,Soul Food / Southern Restaurant,78.1,79.0,75.9,79.6,78.1,76.9,75.0,81,Average,61,Average,161,2026,/resources/guides/los-angeles/survivability/southern-food-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,21.0,24.1,0.9325,0.0739,2,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,ukrainian-restaurant,Ukrainian Restaurant,79.1,80.8,78.2,81.5,80.0,79.1,77.6,40,Good,26,Good,161,2026,/resources/guides/los-angeles/survivability/ukrainian-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,19.2,21.8,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,german-restaurant,German Restaurant,78.2,79.0,76.3,79.8,78.0,77.3,75.5,74,Average,46,Average,161,2026,/resources/guides/los-angeles/survivability/german-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,21.0,23.7,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,juice-smoothie-bar,"Juices, Smoothies & Acai",76.6,79.5,74.1,80.4,78.6,75.0,73.4,87,Average,82,Below-average,161,2026,/resources/guides/los-angeles/survivability/juice-smoothie-bar,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,20.5,25.9,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,liquor-store,Liquor / Alcohol Store,75.1,78.2,72.0,78.7,77.1,73.5,71.1,95,Average,92,Poor,161,2026,/resources/guides/los-angeles/survivability/liquor-store,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,21.8,28.0,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
los-angeles,adams-hill,greek-restaurant,Greek Restaurant,77.4,78.6,74.1,79.5,77.8,75.2,73.7,76,Average,71,Below-average,161,2026,/resources/guides/los-angeles/survivability/greek-restaurant,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/los-angeles/neighborhoods/adams-hill/business-survivability,21.4,25.9,0.9325,0.0739,0,,95372,0.5710,Middle,52.5,57.9,0.1372,39.2,0.4170,2.84,33.9,0.0440,StreetSpring Survivability Dataset 2026
