# Dataset: Business Survivability Scores by Neighborhood - Dallas (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Dallas
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/dallas-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/dallas-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
dallas,bluffview,hot-pot-restaurant,Hot Pot Restaurant,79.9,81.8,76.8,82.6,81.0,77.7,76.0,12,Good,28,Good,30,2026,/resources/guides/dallas/survivability/hot-pot-restaurant,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,18.2,23.2,0.9647,0.0917,0,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,french-restaurant,French Restaurant,78.6,82.2,74.5,82.9,81.4,75.4,73.7,17,Average,67,Below-average,30,2026,/resources/guides/dallas/survivability/french-restaurant,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,17.8,25.5,0.9647,0.0917,1,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,day-care-center,Day Care Center,81.3,84.7,79.2,85.6,82.9,81.0,78.5,8,Good,4,Great,30,2026,/resources/guides/dallas/survivability/day-care-center,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,15.3,20.8,0.9647,0.0917,4,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,hungarian-restaurant,Hungarian Restaurant,79.8,81.3,76.8,82.0,80.2,77.7,75.9,13,Average,41,Good,30,2026,/resources/guides/dallas/survivability/hungarian-restaurant,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,18.7,23.2,0.9647,0.0917,0,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,tanning-salon,Tanning,75.3,78.2,72.8,78.6,76.9,74.3,72.0,14,Average,95,Poor,30,2026,/resources/guides/dallas/survivability/tanning-salon,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,21.8,27.2,0.9647,0.0917,0,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,smoke-shop,Smoke Shop,76.2,78.2,72.8,78.8,77.3,74.1,72.0,21,Below-average,89,Poor,30,2026,/resources/guides/dallas/survivability/smoke-shop,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,21.8,27.2,0.9647,0.0917,1,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,falafel-restaurant,Falafel Restaurant,76.8,78.6,74.1,79.1,77.7,74.9,73.2,1,Great,84,Below-average,30,2026,/resources/guides/dallas/survivability/falafel-restaurant,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,21.4,25.9,0.9647,0.0917,0,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,pizza-restaurant,Pizza Restaurant,79.5,81.3,75.9,82.1,80.4,76.8,75.2,14,Average,53,Average,30,2026,/resources/guides/dallas/survivability/pizza-restaurant,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,18.7,24.1,0.9647,0.0917,1,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,southern-food-restaurant,Soul Food / Southern Restaurant,79.9,81.8,76.8,82.3,80.8,77.8,75.9,14,Average,34,Good,30,2026,/resources/guides/dallas/survivability/southern-food-restaurant,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,18.2,23.2,0.9647,0.0917,7,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
dallas,bluffview,ukrainian-restaurant,Ukrainian Restaurant,78.6,81.8,75.0,82.4,80.8,76.0,74.5,14,Average,69,Below-average,30,2026,/resources/guides/dallas/survivability/ukrainian-restaurant,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/dallas/neighborhoods/bluffview/business-survivability,18.2,25.0,0.9647,0.0917,0,,147150,0.6316,Upper-Middle,88.7,75.9,0.0747,37.9,0.7404,2.14,20.8,0.4646,StreetSpring Survivability Dataset 2026
