# Dataset: Business Survivability Scores by Neighborhood - Philadelphia (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Philadelphia
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/philadelphia-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/philadelphia-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
philadelphia,academy-gardens,hot-pot-restaurant,Hot Pot Restaurant,79.0,84.0,75.9,84.0,83.2,76.8,75.1,14,Great,55,Average,116,2026,/resources/guides/philadelphia/survivability/hot-pot-restaurant,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,16.0,24.1,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,french-restaurant,French Restaurant,79.3,84.0,75.9,84.0,83.6,76.8,75.0,24,Good,30,Good,116,2026,/resources/guides/philadelphia/survivability/french-restaurant,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,16.0,24.1,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,day-care-center,Day Care Center,80.7,84.2,77.5,85.1,82.5,79.2,76.7,37,Good,7,Great,116,2026,/resources/guides/philadelphia/survivability/day-care-center,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,15.8,22.5,0.9425,0.0435,1,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,hungarian-restaurant,Hungarian Restaurant,78.9,84.0,75.9,84.0,82.9,76.8,75.0,13,Great,59,Average,116,2026,/resources/guides/philadelphia/survivability/hungarian-restaurant,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,16.0,24.1,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,tanning-salon,Tanning,70.5,73.2,67.8,73.7,71.9,69.4,67.0,93,Poor,93,Poor,116,2026,/resources/guides/philadelphia/survivability/tanning-salon,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,26.8,32.2,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,smoke-shop,Smoke Shop,72.3,80.5,67.5,81.1,79.6,68.7,66.6,52,Average,90,Poor,116,2026,/resources/guides/philadelphia/survivability/smoke-shop,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,19.5,32.5,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,falafel-restaurant,Falafel Restaurant,70.5,76.8,66.0,77.3,75.9,66.8,65.1,115,Poor,92,Poor,116,2026,/resources/guides/philadelphia/survivability/falafel-restaurant,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,23.2,34.0,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,pizza-restaurant,Pizza Restaurant,78.6,83.6,73.7,84.0,82.7,74.6,72.9,12,Great,64,Average,116,2026,/resources/guides/philadelphia/survivability/pizza-restaurant,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,16.4,26.3,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,southern-food-restaurant,Soul Food / Southern Restaurant,79.1,84.0,75.9,84.0,83.1,76.9,75.0,15,Great,52,Average,116,2026,/resources/guides/philadelphia/survivability/southern-food-restaurant,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,16.0,24.1,0.9425,0.0435,1,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
philadelphia,academy-gardens,ukrainian-restaurant,Ukrainian Restaurant,79.6,83.1,75.9,83.7,82.2,76.9,75.4,20,Great,24,Good,116,2026,/resources/guides/philadelphia/survivability/ukrainian-restaurant,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/philadelphia/neighborhoods/academy-gardens/business-survivability,16.9,24.1,0.9425,0.0435,0,,81051,0.5185,Middle,58.1,32.2,0.0756,47.0,0.3206,2.03,36.3,0.0413,StreetSpring Survivability Dataset 2026
