# Dataset: Business Survivability Scores by Neighborhood - Miami (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Miami
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/miami-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/miami-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
miami,allapattah,hot-pot-restaurant,Hot Pot Restaurant,78.7,83.1,72.3,83.9,82.3,73.2,71.5,42,Average,68,Below-average,85,2026,/resources/guides/miami/survivability/hot-pot-restaurant,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,16.9,27.7,0.9355,0.0644,0,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,french-restaurant,French Restaurant,80.0,84.0,76.3,84.0,84.0,77.2,75.5,18,Good,15,Great,85,2026,/resources/guides/miami/survivability/french-restaurant,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,16.0,23.7,0.9355,0.0644,0,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,day-care-center,Day Care Center,81.1,85.6,77.0,86.0,83.8,78.7,76.2,31,Good,8,Great,85,2026,/resources/guides/miami/survivability/day-care-center,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,14.4,23.0,0.9355,0.0644,15,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,hungarian-restaurant,Hungarian Restaurant,79.5,84.0,76.3,84.0,83.8,77.2,75.5,23,Good,55,Average,85,2026,/resources/guides/miami/survivability/hungarian-restaurant,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,16.0,23.7,0.9355,0.0644,0,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,tanning-salon,Tanning,71.6,76.3,65.5,76.8,75.1,67.1,64.8,62,Below-average,101,Poor,85,2026,/resources/guides/miami/survivability/tanning-salon,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,23.7,34.5,0.9355,0.0644,0,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,smoke-shop,Smoke Shop,76.1,81.0,71.5,81.5,80.0,72.7,70.7,22,Good,85,Below-average,85,2026,/resources/guides/miami/survivability/smoke-shop,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,19.0,28.5,0.9355,0.0644,0,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,falafel-restaurant,Falafel Restaurant,76.0,78.2,72.8,78.7,77.2,73.6,71.9,11,Great,86,Below-average,85,2026,/resources/guides/miami/survivability/falafel-restaurant,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,21.8,27.2,0.9355,0.0644,0,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,pizza-restaurant,Pizza Restaurant,78.2,84.0,74.1,84.0,83.6,75.0,73.4,29,Good,72,Below-average,85,2026,/resources/guides/miami/survivability/pizza-restaurant,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,16.0,25.9,0.9355,0.0644,2,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,southern-food-restaurant,Soul Food / Southern Restaurant,79.8,84.0,77.2,84.0,84.0,78.2,76.4,20,Good,36,Good,85,2026,/resources/guides/miami/survivability/southern-food-restaurant,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,16.0,22.8,0.9355,0.0644,17,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
miami,allapattah,ukrainian-restaurant,Ukrainian Restaurant,79.4,82.7,75.5,83.3,81.8,76.4,74.9,40,Average,61,Average,85,2026,/resources/guides/miami/survivability/ukrainian-restaurant,/resources/guides/miami/neighborhoods/allapattah/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/miami/neighborhoods/allapattah/business-survivability,17.3,24.5,0.9355,0.0644,0,,48465,0.3002,Low-Income,7.1,6.9,0.2372,42.2,0.1835,2.87,33.0,0.1609,StreetSpring Survivability Dataset 2026
