# Dataset: Business Survivability Scores by Neighborhood - Seattle (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Seattle
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/seattle-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/seattle-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
seattle,admiral,hot-pot-restaurant,Hot Pot Restaurant,79.8,81.8,76.8,82.6,81.0,77.7,76.0,4,Great,19,Great,64,2026,/resources/guides/seattle/survivability/hot-pot-restaurant,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,18.2,23.2,0.9466,0.0793,0,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,french-restaurant,French Restaurant,79.7,82.2,75.0,82.9,81.4,75.9,74.1,7,Great,32,Good,64,2026,/resources/guides/seattle/survivability/french-restaurant,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,17.8,25.0,0.9466,0.0793,0,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,day-care-center,Day Care Center,80.4,82.8,77.5,83.8,81.1,79.2,76.7,10,Great,8,Great,64,2026,/resources/guides/seattle/survivability/day-care-center,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,17.2,22.5,0.9466,0.0793,7,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,hungarian-restaurant,Hungarian Restaurant,79.6,81.3,75.9,82.0,80.2,76.8,75.0,4,Great,46,Average,64,2026,/resources/guides/seattle/survivability/hungarian-restaurant,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,18.7,24.1,0.9466,0.0793,0,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,tanning-salon,Tanning,73.9,79.0,68.7,79.5,77.8,70.3,67.9,10,Great,88,Below-average,64,2026,/resources/guides/seattle/survivability/tanning-salon,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,21.0,31.3,0.9466,0.0793,0,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,smoke-shop,Smoke Shop,73.8,77.3,65.7,77.9,76.4,66.9,64.8,13,Good,90,Poor,64,2026,/resources/guides/seattle/survivability/smoke-shop,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,22.7,34.3,0.9466,0.0793,0,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,falafel-restaurant,Falafel Restaurant,74.1,75.0,72.8,75.5,74.1,73.6,71.9,6,Great,87,Below-average,64,2026,/resources/guides/seattle/survivability/falafel-restaurant,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,25.0,27.2,0.9466,0.0793,0,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,pizza-restaurant,Pizza Restaurant,79.1,81.3,75.0,82.1,80.4,75.9,74.3,7,Great,68,Below-average,64,2026,/resources/guides/seattle/survivability/pizza-restaurant,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,18.7,25.0,0.9466,0.0793,1,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,southern-food-restaurant,Soul Food / Southern Restaurant,79.8,81.8,76.8,82.3,80.8,77.8,75.9,4,Great,23,Good,64,2026,/resources/guides/seattle/survivability/southern-food-restaurant,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,18.2,23.2,0.9466,0.0793,5,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
seattle,admiral,ukrainian-restaurant,Ukrainian Restaurant,79.6,81.8,75.5,82.4,80.8,76.4,74.9,9,Great,52,Average,64,2026,/resources/guides/seattle/survivability/ukrainian-restaurant,/resources/guides/seattle/neighborhoods/admiral/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/seattle/neighborhoods/admiral/business-survivability,18.2,24.5,0.9466,0.0793,0,,128241,0.7031,Middle,60.0,83.5,0.0446,43.2,0.6819,1.97,30.6,0.1776,StreetSpring Survivability Dataset 2026
