# Dataset: Business Survivability Scores by Neighborhood - Chicago (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Chicago
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/chicago-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/chicago-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
chicago,albany-park,hot-pot-restaurant,Hot Pot Restaurant,82.4,84.0,75.9,84.0,84.0,76.8,75.1,30,Good,63,Average,86,2026,/resources/guides/chicago/survivability/hot-pot-restaurant,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,16.0,24.1,0.9346,0.0762,0,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,french-restaurant,French Restaurant,82.6,84.0,76.3,84.0,84.0,77.2,75.5,24,Good,19,Great,86,2026,/resources/guides/chicago/survivability/french-restaurant,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,16.0,23.7,0.9346,0.0762,0,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,day-care-center,Day Care Center,83.6,86.0,77.0,86.0,86.0,78.7,76.2,32,Good,6,Great,86,2026,/resources/guides/chicago/survivability/day-care-center,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,14.0,23.0,0.9346,0.0762,3,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,hungarian-restaurant,Hungarian Restaurant,82.6,84.0,76.3,84.0,84.0,77.2,75.5,25,Good,20,Great,86,2026,/resources/guides/chicago/survivability/hungarian-restaurant,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,16.0,23.7,0.9346,0.0762,0,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,tanning-salon,Tanning,74.0,79.5,67.3,80.0,78.2,68.9,66.6,34,Good,93,Poor,86,2026,/resources/guides/chicago/survivability/tanning-salon,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,20.5,32.7,0.9346,0.0762,0,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,smoke-shop,Smoke Shop,76.8,81.8,61.6,82.4,80.9,62.8,60.8,42,Average,78,Below-average,86,2026,/resources/guides/chicago/survivability/smoke-shop,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,18.2,38.4,0.9346,0.0762,0,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,falafel-restaurant,Falafel Restaurant,75.1,78.6,66.9,79.1,77.7,67.7,66.0,44,Average,87,Below-average,86,2026,/resources/guides/chicago/survivability/falafel-restaurant,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,21.4,33.1,0.9346,0.0762,0,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,pizza-restaurant,Pizza Restaurant,82.5,84.0,75.9,84.0,84.0,76.8,75.2,28,Good,46,Average,86,2026,/resources/guides/chicago/survivability/pizza-restaurant,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,16.0,24.1,0.9346,0.0762,1,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,southern-food-restaurant,Soul Food / Southern Restaurant,82.5,84.0,75.5,84.0,84.0,76.4,74.6,29,Good,52,Average,86,2026,/resources/guides/chicago/survivability/southern-food-restaurant,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,16.0,24.5,0.9346,0.0762,26,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
chicago,albany-park,ukrainian-restaurant,Ukrainian Restaurant,82.4,84.0,75.5,84.0,84.0,76.4,74.9,35,Average,67,Below-average,86,2026,/resources/guides/chicago/survivability/ukrainian-restaurant,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/chicago/neighborhoods/albany-park/business-survivability,16.0,24.5,0.9346,0.0762,0,,78988,0.5060,Working,38.7,36.4,0.1392,34.4,0.4078,2.61,36.9,0.0964,StreetSpring Survivability Dataset 2026
