# Dataset: Business Survivability Scores by Neighborhood - Tampa Bay (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Tampa Bay
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/tampa-bay-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/tampa-bay-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
tampa-bay,bayside-west,hot-pot-restaurant,Hot Pot Restaurant,79.6,84.0,74.5,84.0,83.7,75.5,73.7,10,Good,43,Average,31,2026,/resources/guides/tampa-bay/survivability/hot-pot-restaurant,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,16.0,25.5,0.9809,0.0703,0,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,french-restaurant,French Restaurant,78.3,84.0,71.4,84.0,83.6,72.3,70.5,14,Average,70,Below-average,31,2026,/resources/guides/tampa-bay/survivability/french-restaurant,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,16.0,28.6,0.9809,0.0703,0,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,day-care-center,Day Care Center,81.3,86.0,76.5,86.0,84.3,78.3,75.8,10,Good,4,Great,31,2026,/resources/guides/tampa-bay/survivability/day-care-center,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,14.0,23.5,0.9809,0.0703,4,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,hungarian-restaurant,Hungarian Restaurant,78.7,84.0,71.8,84.0,83.3,72.7,71.0,13,Average,67,Below-average,31,2026,/resources/guides/tampa-bay/survivability/hungarian-restaurant,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,16.0,28.2,0.9809,0.0703,0,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,tanning-salon,Tanning,72.9,79.0,68.7,79.5,77.8,70.3,67.9,17,Average,92,Poor,31,2026,/resources/guides/tampa-bay/survivability/tanning-salon,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,21.0,31.3,0.9809,0.0703,0,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,smoke-shop,Smoke Shop,72.9,76.0,66.5,76.6,75.1,67.8,65.7,25,Poor,91,Poor,31,2026,/resources/guides/tampa-bay/survivability/smoke-shop,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,24.0,33.5,0.9809,0.0703,0,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,falafel-restaurant,Falafel Restaurant,73.8,75.9,72.3,76.4,75.0,73.1,71.4,22,Below-average,88,Poor,31,2026,/resources/guides/tampa-bay/survivability/falafel-restaurant,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,24.1,27.7,0.9809,0.0703,0,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,pizza-restaurant,Pizza Restaurant,78.9,84.0,71.8,84.0,83.6,72.8,71.1,11,Good,63,Average,31,2026,/resources/guides/tampa-bay/survivability/pizza-restaurant,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,16.0,28.2,0.9809,0.0703,2,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,southern-food-restaurant,Soul Food / Southern Restaurant,79.7,84.0,75.0,84.0,83.5,76.0,74.1,7,Good,40,Good,31,2026,/resources/guides/tampa-bay/survivability/southern-food-restaurant,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,16.0,25.0,0.9809,0.0703,1,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
tampa-bay,bayside-west,ukrainian-restaurant,Ukrainian Restaurant,79.8,84.0,75.5,84.0,83.1,76.4,74.9,6,Great,20,Great,31,2026,/resources/guides/tampa-bay/survivability/ukrainian-restaurant,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/tampa-bay/neighborhoods/bayside-west/business-survivability,16.0,24.5,0.9809,0.0703,0,,98336,0.5797,Middle,68.3,51.2,0.0823,36.1,0.5309,1.94,26.3,0.4330,StreetSpring Survivability Dataset 2026
