# Dataset: Business Survivability Scores by Neighborhood - San Francisco (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in San Francisco
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/san-francisco-survivability-scores-2026.csv
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-03
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (110 types, for example italian-restaurant); the row's business.; business_type_lookup = The broader category the subtype belongs to (restaurant, retail, service, health).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/san-francisco-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
san-francisco,acorn,hot-pot-restaurant,Hot Pot Restaurant,79.3,84.0,76.0,85.8,82.3,78.1,74.2,29,Good,6,Great,81,2026,/resources/guides/san-francisco/survivability/hot-pot-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,16.0,24.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,french-restaurant,French Restaurant,80.6,83.0,78.0,84.5,81.2,79.9,76.1,41,Average,14,Great,81,2026,/resources/guides/san-francisco/survivability/french-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,17.0,22.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,day-care-center,Day Care Center,78.3,81.0,75.0,83.0,77.2,78.8,73.3,60,Below-average,24,Good,81,2026,/resources/guides/san-francisco/survivability/day-care-center,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,19.0,25.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,hungarian-restaurant,Hungarian Restaurant,76.5,79.0,74.0,80.5,76.5,75.9,72.1,60,Below-average,45,Average,81,2026,/resources/guides/san-francisco/survivability/hungarian-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,21.0,26.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,tanning-salon,Tanning,75.0,82.0,68.0,83.1,79.2,71.5,66.3,4,Great,19,Great,81,2026,/resources/guides/san-francisco/survivability/tanning-salon,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,18.0,32.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,smoke-shop,Smoke Shop,69.3,73.0,65.0,74.3,70.9,67.7,63.2,65,Poor,94,Poor,81,2026,/resources/guides/san-francisco/survivability/smoke-shop,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,27.0,35.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,falafel-restaurant,Falafel Restaurant,69.0,74.0,63.0,75.2,71.9,64.8,61.1,42,Average,89,Poor,81,2026,/resources/guides/san-francisco/survivability/falafel-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,26.0,37.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,pizza-restaurant,Pizza Restaurant,74.7,78.0,72.0,79.8,76.1,74.1,70.4,59,Below-average,72,Below-average,81,2026,/resources/guides/san-francisco/survivability/pizza-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,22.0,28.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,southern-food-restaurant,Soul Food / Southern Restaurant,76.7,79.0,74.0,80.3,76.9,76.2,72.1,69,Poor,46,Average,81,2026,/resources/guides/san-francisco/survivability/southern-food-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,21.0,26.0,0.9293,0.1160,1,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,ukrainian-restaurant,Ukrainian Restaurant,81.1,84.0,78.0,85.4,82.0,80.2,76.8,26,Good,7,Great,81,2026,/resources/guides/san-francisco/survivability/ukrainian-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,16.0,22.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
san-francisco,acorn,german-restaurant,German Restaurant,76.6,79.0,74.0,80.7,76.6,76.2,72.2,72,Poor,47,Average,81,2026,/resources/guides/san-francisco/survivability/german-restaurant,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,https://streetspring.com/resources/tutorial/methodology,/resources/guides/san-francisco/neighborhoods/acorn/business-survivability,21.0,26.0,0.9293,0.1160,0,,80999,0.4853,Working,16.9,37.2,0.1910,35.3,0.4359,2.58,35.5,0.1880,StreetSpring Survivability Dataset 2026
